,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
26,37,277,9,823,38404,12.554429552141222,1.0,10.64040536122916,78,3059,105632.81131088591
54,73,177,7,589,34251,13.689448441247002,2.0,16.297362110311752,74,2502,92282.65839328537
122,325,133,30,251,31962,24.643022359290672,3.0,16.07864302235929,59,1297,76338.54163454125
38,52,132,13,460,30117,16.89119461581604,3.0,10.960740325294447,67,1783,77097.77066741446
158,397,138,7,442,29808,14.59745347698335,2.0,27.0435847208619,70,2042,79119.17257590598
77,245,125,40,398,29538,13.186607142857143,5.0,29.930357142857144,70,2240,80623.81223214285
163,403,156,17,482,29607,14.656930693069308,2.0,5.941584158415842,67,2020,78381.04450495049
69,217,97,11,256,28526,14.919456066945607,3.0,23.982217573221757,69,1912,75642.11328451883
102,287,105,22,315,28758,21.65512048192771,3.0,14.84262048192771,64,1328,70131.36370481928
99,281,160,11,439,27456,15.253333333333334,2.0,21.30611111111111,69,1800,71982.07288888888
57,155,164,21,356,27144,19.683828861493836,3.0,14.086294416243655,69,1379,67300.98448150833
13,16,140,25,400,27054,19.407460545193686,4.0,18.4390243902439,69,1394,67194.91793400286
306,660,153,9,603,26891,14.702569710224166,1.0,22.497539639147075,71,1829,70819.53034445053
34,48,200,24,390,26831,17.983243967828418,2.0,22.408176943699733,70,1492,67720.51146112599
53,72,107,11,513,26483,15.072851451337508,2.0,11.845190665907797,72,1757,69477.14171883893
98,280,149,26,282,25544,18.699853587115665,5.0,17.281112737920935,64,1366,64124.054758418744
36,50,85,11,602,25006,13.50945434900054,2.0,4.796326310102647,71,1851,67288.9955699622
55,104,101,5,633,24379,11.297034291010194,2.0,18.0,74,2158,69049.8673308619
88,265,152,22,318,24506,18.879815100154083,5.0,13.668721109399076,68,1298,61296.22681047766
117,319,112,14,423,23991,16.835789473684212,3.0,23.042105263157893,68,1425,61358.48589473684
44,58,92,8,474,23357,16.888647866955893,2.0,3.8553868402024585,70,1383,59568.684092552416
105,291,151,12,338,21903,15.975929978118161,3.0,-0.11670313639679067,61,1371,56774.98497447119
164,404,141,21,243,21927,20.07967032967033,3.0,18.053113553113555,66,1092,54237.71419413919
58,162,104,11,510,21817,13.41758917589176,2.0,1.530750307503075,69,1626,58832.60043050431
6,7,102,5,526,20436,12.708955223880597,2.0,3.0,71,1608,55866.33805970149
128,333,136,18,341,20427,16.09692671394799,3.0,6.195429472025217,70,1269,52804.54357762017
59,163,78,4,390,18445,13.931268882175226,2.0,11.0,66,1324,49336.338141993954
40,54,131,14,250,18287,18.775154004106778,2.0,29.87782340862423,64,974,45783.0998973306
42,56,83,19,275,17988,17.58357771260997,3.0,12.635386119257086,63,1023,45629.83352883676
175,419,85,27,162,17226,26.583333333333332,2.0,12.17283950617284,57,648,40579.26327160494
76,244,98,13,211,16468,18.096703296703296,3.0,154.21428571428572,62,910,41699.95846153846
29,43,92,12,250,16341,22.91865357643759,2.0,33.69004207573632,59,713,39308.878821879385
193,446,138,17,132,15850,15.53921568627451,2.0,3.2558823529411764,39,1020,41571.89000000001
123,327,77,17,209,15853,18.541520467836257,3.0,17.33801169590643,55,855,39820.65777777778
60,165,109,9,229,15721,18.387134502923978,3.0,26.051461988304094,58,855,39515.78959064328
107,303,55,4,302,15709,17.994272623138603,4.0,-0.7594501718213058,65,873,39537.38728522337
33,47,136,18,172,15438,20.72214765100671,3.0,14.538255033557046,46,745,37932.98053691275
162,402,69,14,239,15357,24.260663507109005,3.0,9.649289099526067,62,633,36555.35402843601
110,308,114,16,190,15266,21.351048951048952,4.0,18.055944055944057,47,715,37270.16069930069
72,238,86,13,322,15116,19.994708994708994,2.0,44.31216931216931,63,756,37153.14497354498
235,520,117,27,199,14599,19.4913217623498,3.0,21.929238985313752,54,749,36247.085580774365
47,62,58,5,280,13681,18.19281914893617,3.0,6.1436170212765955,62,752,34317.588430851065
11,14,80,15,283,13079,14.61340782122905,3.0,18.757541899441343,65,895,34523.758100558654
114,312,52,6,358,13048,15.225204200700116,3.0,13.282380396732789,66,857,33951.028588098015
100,283,85,22,155,12790,20.72933549432739,2.0,15.149108589951378,52,617,31412.875688816857
155,391,63,9,320,12090,17.547169811320753,3.0,3.330914368650218,60,689,30416.05718432511
24,33,68,16,171,11681,15.072258064516129,3.0,20.081290322580646,58,775,30757.53006451613
135,345,64,11,251,11681,16.568794326241136,3.0,24.663829787234043,64,705,29910.14297872341
170,411,64,6,278,10908,16.208023774145616,3.0,41.1887072808321,62,673,28007.838187221398
212,482,74,14,203,10615,19.512867647058822,3.0,18.97610294117647,67,544,26254.542463235295
224,507,53,5,276,10581,16.82193958664547,3.0,4.531001589825119,61,629,26895.46454689984
142,355,64,24,110,10270,14.444444444444445,4.0,14.682137834036569,62,711,27407.74571026723
82,251,85,20,91,10398,25.485294117647058,3.0,21.223039215686274,38,408,24677.31519607843
83,252,75,9,187,10279,19.959223300970873,2.0,25.079611650485436,51,515,25332.02699029126
108,305,35,5,279,10327,19.230912476722533,4.0,14.02048417132216,65,537,25481.324208566108
73,239,64,3,290,10055,15.165912518853695,2.0,1.1040723981900453,61,663,26147.032579185518
239,528,41,3,265,9951,15.100151745068285,3.0,18.267071320182094,58,659,25974.603793626706
225,508,51,23,118,9630,9.340446168768187,5.0,15.170708050436469,62,1031,29315.742967992242
141,354,44,14,154,9913,33.9486301369863,4.0,24.47945205479452,58,292,22460.737328767125
67,214,45,7,294,9041,13.995356037151703,3.0,21.568111455108358,67,646,23963.150309597524
178,422,31,6,218,9005,23.450520833333332,3.0,0.2552083333333333,62,384,21422.10963541667
111,309,76,24,87,8823,26.575301204819276,3.0,17.00602409638554,31,332,20772.72259036144
39,53,77,12,184,8681,15.58527827648115,4.0,15.545780969479354,63,557,22549.063375224418
109,306,61,7,147,8698,20.61137440758294,3.0,15.082938388625593,40,422,21321.216587677725
87,264,49,8,267,8462,14.92416225749559,3.0,17.402116402116402,69,567,22063.85343915344
186,439,33,3,186,8403,19.272935779816514,3.0,15.0,44,436,20810.345642201835
241,533,67,17,145,8279,20.441975308641975,4.0,19.264197530864198,51,405,20309.209135802466
251,590,40,6,250,8285,18.534675615212528,4.0,21.366890380313198,62,447,20556.774720357942
199,458,39,11,147,7831,20.23514211886305,3.0,14.863049095607234,50,387,19244.702067183465
46,61,23,3,314,7576,14.160747663551401,4.0,9.71588785046729,63,535,19889.117383177567
28,42,43,8,105,7178,22.15432098765432,2.0,21.410493827160494,36,324,17398.56728395062
138,350,37,6,167,7074,23.97966101694915,3.0,1.352542372881356,58,295,16770.06372881356
91,268,87,19,95,6957,17.177777777777777,3.0,18.204938271604938,35,405,17747.123950617282
278,622,42,3,167,6911,18.628032345013477,2.0,11.533692722371967,55,371,17206.892183288408
106,292,30,7,104,6560,23.597122302158272,2.0,8.46043165467626,31,278,15702.505755395685
113,311,21,1,334,6066,16.262734584450403,2.0,-5.0,56,373,15200.136461126005
